Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Duration_Hours,Duration_Mins,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata
59,1,6,3,15,40,16,45,25,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
60,1,6,6,9,25,21,50,12,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1,3,4,6,5,9,25,27,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62,1,3,6,8,45,19,0,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
63,1,15,5,15,0,1,30,10,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
64,0,24,5,7,5,9,20,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
65,1,24,6,10,35,21,0,10,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
66,0,24,4,9,45,12,35,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,0,6,5,13,55,15,25,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
68,2,21,5,5,55,19,15,13,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
69,0,12,3,13,20,15,35,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,0,1,6,7,5,8,30,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
71,1,9,3,5,45,8,15,26,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,1,24,6,11,40,19,0,7,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
73,2,24,6,23,5,12,35,13,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
74,1,21,3,5,5,10,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
75,0,9,3,9,50,12,35,2,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,0,3,4,11,40,14,30,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,0,3,4,6,25,7,55,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
78,1,15,6,17,30,12,35,19,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
79,0,21,3,8,20,10,35,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
80,1,9,6,21,10,12,0,14,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,0,24,3,19,55,22,35,2,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,1,6,5,6,30,4,40,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,1,27,6,11,25,21,0,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
84,1,18,5,9,0,19,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
85,1,6,3,14,5,11,25,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1,24,6,2,0,7,25,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
87,2,6,6,9,40,4,25,18,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
88,1,1,4,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,1,24,5,20,25,14,25,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,1,27,5,13,15,22,30,9,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
91,1,6,3,2,15,13,20,11,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
92,1,12,3,16,55,10,25,17,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,2,6,3,5,55,19,15,13,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
94,0,21,4,20,45,23,20,2,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,0,21,6,5,15,7,40,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
96,0,15,5,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
97,0,3,6,19,50,22,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,0,18,6,7,5,8,30,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
99,2,12,6,20,0,12,35,16,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
100,1,15,5,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,1,9,6,20,0,8,15,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,1,24,6,20,55,4,25,7,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,1,12,5,14,35,14,35,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,0,1,5,6,10,8,55,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,2,18,5,19,30,4,25,8,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106,1,27,3,11,40,18,50,7,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107,1,27,3,4,45,19,15,14,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
108,2,9,5,12,55,19,15,30,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
109,2,24,5,23,5,19,0,19,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
110,1,18,3,14,5,5,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,0,12,4,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1,12,5,20,20,9,5,12,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
113,1,6,3,18,15,4,25,10,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114,1,27,6,7,0,12,55,5,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115,1,18,5,7,5,22,30,15,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
116,1,6,3,17,20,9,25,16,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
117,1,3,3,15,25,1,35,10,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
118,0,12,6,7,0,9,40,2,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
119,1,9,5,7,5,19,0,11,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120,0,9,4,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121,0,3,5,15,0,16,25,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
122,1,6,5,20,0,10,5,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,1,1,3,23,0,19,15,20,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
124,0,12,5,5,15,7,40,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
125,2,21,5,12,0,11,10,23,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,1,12,6,14,5,8,15,18,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,1,6,5,20,0,12,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,0,24,6,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,0,3,6,14,45,17,5,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,1,21,3,11,50,19,50,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,1,15,6,11,30,4,25,16,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
132,0,12,5,14,40,17,50,3,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
133,0,15,6,20,25,23,10,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,1,21,5,11,30,1,30,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
135,2,18,5,19,10,19,0,23,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
136,2,6,6,6,45,4,25,21,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
137,2,27,6,22,0,19,15,21,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
138,0,24,5,6,0,8,45,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,1,3,3,8,0,18,50,10,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
140,1,9,4,17,30,1,30,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
141,1,6,6,23,30,7,45,8,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,1,15,6,2,0,7,25,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
143,1,9,6,7,35,16,10,8,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
144,1,21,5,13,5,0,55,11,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
145,1,21,5,20,0,23,35,27,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,2,3,6,20,0,4,25,8,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
147,1,3,4,12,30,9,25,20,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
148,1,24,6,15,10,20,0,4,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
149,1,9,6,12,50,21,0,8,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
150,0,3,4,22,20,0,40,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
151,2,21,3,18,25,18,50,24,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
152,0,27,6,11,40,14,30,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,1,12,5,8,25,20,45,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,1,24,5,20,0,8,15,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,2,9,5,8,20,7,55,23,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,2,27,6,20,0,12,35,16,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
157,0,3,3,18,55,21,45,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,1,12,5,16,30,18,15,25,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
159,1,6,3,2,15,4,25,26,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160,1,1,5,9,35,14,25,28,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,0,24,3,0,40,3,25,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,1,9,6,12,0,13,15,25,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
163,1,9,5,6,50,16,10,9,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
164,1,12,6,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
165,1,27,5,13,0,4,25,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
166,0,3,3,13,55,15,25,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
167,0,21,5,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
168,1,27,3,19,15,4,25,9,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
169,0,27,5,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,1,3,4,14,0,12,35,22,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
171,0,18,4,18,5,21,10,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
172,1,9,6,9,35,21,5,11,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,1,27,6,11,30,21,0,9,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
174,1,6,5,21,10,9,20,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,1,12,6,16,30,10,5,17,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
176,1,3,4,20,25,1,30,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
177,1,21,5,17,0,18,50,25,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
178,1,6,5,14,5,10,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,1,21,5,8,0,21,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
180,1,1,6,10,0,4,25,18,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
181,0,27,3,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
182,1,15,5,16,0,1,30,9,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
183,1,6,5,20,0,12,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
184,0,12,5,14,45,17,5,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
185,1,24,6,8,45,13,15,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
186,1,27,6,21,50,3,35,5,45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
187,1,6,6,9,35,9,45,24,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,0,3,6,15,30,18,5,2,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,0,12,6,11,10,13,55,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,1,3,3,12,10,17,5,4,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,1,27,3,5,15,6,50,25,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
192,1,24,6,16,10,22,30,6,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
193,0,27,6,18,55,22,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,1,12,3,20,35,15,15,18,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,0,27,6,9,45,12,0,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
196,1,12,6,16,30,4,40,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197,1,24,6,9,0,4,25,19,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
198,0,18,3,13,20,16,10,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,1,27,3,7,5,15,30,8,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
200,1,24,3,22,25,7,40,9,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,0,3,6,21,5,23,55,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,0,24,4,5,35,8,50,3,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
203,0,18,5,5,10,8,0,2,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
204,1,3,6,6,40,19,0,12,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
205,0,18,4,15,15,18,10,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,1,27,3,16,0,1,35,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
207,0,27,6,17,0,19,35,2,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
208,1,21,5,14,5,23,35,9,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
209,2,18,5,23,5,4,25,29,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
210,0,12,5,0,30,3,25,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
211,1,6,6,6,5,11,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
212,1,6,6,7,5,16,10,9,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
213,1,3,6,8,30,19,15,10,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
214,1,1,6,5,10,10,5,4,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
215,0,24,6,8,45,10,15,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
216,1,9,6,7,10,18,50,11,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
217,0,1,6,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,0,12,5,15,15,18,10,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,1,9,6,9,0,19,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
220,0,12,4,10,0,12,45,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
221,1,12,6,9,0,19,15,10,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
222,0,18,3,7,10,8,35,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
223,1,9,5,10,0,19,15,9,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
224,2,9,6,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
225,2,6,6,14,25,19,15,28,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
226,2,3,3,5,25,18,50,37,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
227,0,27,4,23,30,2,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
228,0,21,5,5,45,7,15,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
229,0,27,5,10,20,11,50,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
230,1,24,3,16,50,18,30,25,40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231,0,12,4,20,45,23,20,2,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
